BindingDB-id,smiles,chemblid,genename,primary_uniprot,secondary_uniprot
50749686,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH1_HUMAN,P00915,
50749687,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@@H]1c1ccccc1,CHEMBL4095957,CAH1_HUMAN,P00915,
50749711,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749723,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749728,COc1cc2CCN(C(c3ccc(F)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4071251,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749729,COc1cc2CCN(C(c3ccc(Cl)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4098299,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749738,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749742,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccccc1,CHEMBL4100218,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749744,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1,CHEMBL4073364,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749745,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1,CHEMBL4099267,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749746,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749747,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749748,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749749,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749750,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,CHEMBL4068642,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749751,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@@H]1c1ccccc1,CHEMBL4095957,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749752,CCCOc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4075030,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749753,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749754,COc1cc2CCN(C(c3ccc(F)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4071251,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749755,COc1cc2CCN(C(c3ccc(Br)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4062013,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749756,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749757,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1,CHEMBL4073364,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749758,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Cl)cc1,CHEMBL4081248,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749759,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1,CHEMBL4099267,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749760,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749761,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749762,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749763,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH9_HUMAN,Q16790,Q5T4R1
50749764,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH9_HUMAN,Q16790,Q5T4R1
50749767,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH9_HUMAN,Q16790,Q5T4R1
50749770,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH9_HUMAN,Q16790,Q5T4R1
50749774,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,CHEMBL4068642,CAH9_HUMAN,Q16790,Q5T4R1
50749775,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@@H]1c1ccccc1,CHEMBL4095957,CAH9_HUMAN,Q16790,Q5T4R1
50749776,CCCOc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4075030,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749777,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749778,COc1cc2CCN(C(c3ccc(F)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4071251,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749779,COc1cc2CCN(C(c3ccc(Br)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4062013,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749781,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749782,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1,CHEMBL4073364,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749783,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Cl)cc1,CHEMBL4081248,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749784,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749786,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749787,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749788,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749789,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749790,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@@H]1c1ccccc1,CHEMBL4095957,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749791,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749792,CCCOc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4075030,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749793,COc1cc2CCN(C(c3ccc(F)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4071251,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749794,COc1cc2CCN(C(c3ccc(Cl)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4098299,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749795,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749796,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccccc1,CHEMBL4100218,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749797,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1,CHEMBL4073364,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749798,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1,CHEMBL4099267,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749799,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749800,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749801,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749802,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749803,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,CHEMBL4068642,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749804,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@@H]1c1ccccc1,CHEMBL4095957,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749805,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1,CHEMBL4099267,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749806,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749807,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,CHEMBL4068642,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749808,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749809,COc1cc2CCN(C(c3ccc(Br)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4062013,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749810,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Cl)cc1,CHEMBL4081248,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749811,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749812,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH14_HUMAN,Q9ULX7,"Q5TB24,Q8NCF4"
50749813,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,CHEMBL4068642,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749814,CCCOc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4075030,CAH9_HUMAN,Q16790,Q5T4R1
50749815,COc1cc2CCN(C(c3ccc(Br)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4062013,CAH9_HUMAN,Q16790,Q5T4R1
50749816,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1,CHEMBL4073364,CAH9_HUMAN,Q16790,Q5T4R1
50749817,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH9_HUMAN,Q16790,Q5T4R1
50749818,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH9_HUMAN,Q16790,Q5T4R1
50749819,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749820,COc1cc2CCN(C(c3ccc(Cl)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4098299,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749821,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccccc1,CHEMBL4100218,CAH12_HUMAN,O43570,"B2RE24,Q53YE5,Q9BWG2"
50749822,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH1_HUMAN,P00915,
50749823,COc1cc2CCN(C(c3ccc(F)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4071251,CAH1_HUMAN,P00915,
50749824,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccccc1,CHEMBL4100218,CAH1_HUMAN,P00915,
50749825,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749826,COc1cc2CCN(C(c3ccc(Cl)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4098299,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749827,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccccc1,CHEMBL4100218,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749828,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749829,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH7_HUMAN,P43166,"Q541F0,Q86YU0"
50749830,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Br)cc1,CHEMBL4099267,CAH1_HUMAN,P00915,
50749831,COc1cc2CCN(C(c3ccccc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4069601,CAH1_HUMAN,P00915,
50749832,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2[C@H]1c1ccccc1,CHEMBL4068642,CAH1_HUMAN,P00915,
50749833,CCCOc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4075030,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749834,COc1cc2CCN(C(c3ccc(Br)cc3)c2cc1OC)C(=O)c1ccc(cc1)S(N)(=O)=O,CHEMBL4062013,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749835,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(Cl)cc1,CHEMBL4081248,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749836,COc1ccc2C(N(CCc2c1)C(=O)c1ccc(cc1)S(N)(=O)=O)c1ccccc1,CHEMBL4070634,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50749837,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)ccc2C1c1ccccc1,CHEMBL4079453,CAH2_HUMAN,P00918,"B2R7G8,Q6FI12,Q96ET9"
50000241,O=C1CCc2cc(ccc2N1)C(c1ccccc1)n1ccnc1,CHEMBL158201,THAS_HUMAN,P24557,"B4DJG6,E7EMU9,E7EP08,E7ESB5,O14987,Q16843,Q16844,Q8IUN1,Q96CN2,Q9GZW4,Q9HD77,Q9HD78,Q9HD79,Q9HD80,Q9HD81,Q9HD82,Q9HD83,Q9HD84"
50000242,O=C1CCc2cc(ccc2N1)-n1ccnc1,CHEMBL17516,THAS_HUMAN,P24557,"B4DJG6,E7EMU9,E7EP08,E7ESB5,O14987,Q16843,Q16844,Q8IUN1,Q96CN2,Q9GZW4,Q9HD77,Q9HD78,Q9HD79,Q9HD80,Q9HD81,Q9HD82,Q9HD83,Q9HD84"
50000243,O=C1CCc2cc(\C=C\n3ccnc3)ccc2N1,CHEMBL160790,THAS_HUMAN,P24557,"B4DJG6,E7EMU9,E7EP08,E7ESB5,O14987,Q16843,Q16844,Q8IUN1,Q96CN2,Q9GZW4,Q9HD77,Q9HD78,Q9HD79,Q9HD80,Q9HD81,Q9HD82,Q9HD83,Q9HD84"
50000247,O=c1ccc2cc(\C=C\n3ccnc3)ccc2[nH]1,CHEMBL347379,THAS_HUMAN,P24557,"B4DJG6,E7EMU9,E7EP08,E7ESB5,O14987,Q16843,Q16844,Q8IUN1,Q96CN2,Q9GZW4,Q9HD77,Q9HD78,Q9HD79,Q9HD80,Q9HD81,Q9HD82,Q9HD83,Q9HD84"
50000249,O=C1CCc2cc(ccc2N1)-c1cccnc1,CHEMBL62811,THAS_HUMAN,P24557,"B4DJG6,E7EMU9,E7EP08,E7ESB5,O14987,Q16843,Q16844,Q8IUN1,Q96CN2,Q9GZW4,Q9HD77,Q9HD78,Q9HD79,Q9HD80,Q9HD81,Q9HD82,Q9HD83,Q9HD84"
50000251,CCCCCC(Cn1ccnc1)c1ccc2NC(=O)CCc2c1,CHEMBL157346,THAS_HUMAN,P24557,"B4DJG6,E7EMU9,E7EP08,E7ESB5,O14987,Q16843,Q16844,Q8IUN1,Q96CN2,Q9GZW4,Q9HD77,Q9HD78,Q9HD79,Q9HD80,Q9HD81,Q9HD82,Q9HD83,Q9HD84"
50666187,O=c1ccc2cc(\C=C\n3ccnc3)ccc2[nH]1,CHEMBL347379,PDE3A_HUMAN,Q14432,"O60865,Q13348,Q17RD1"
50666197,O=C1CCc2cc(ccc2N1)C(c1ccccc1)n1ccnc1,CHEMBL158201,PDE3A_HUMAN,Q14432,"O60865,Q13348,Q17RD1"
50666201,CCCCCC(Cn1ccnc1)c1ccc2NC(=O)CCc2c1,CHEMBL157346,PDE3A_HUMAN,Q14432,"O60865,Q13348,Q17RD1"
